"10,000,000 Volt Thunderbolt",Electric,Special,195,—,1,"[Z-Move] requiring Pikashunium Z"
"Absorb",Grass,Special,20,100%,25-40,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Accelerock",Rock,Physical,40,100%,20-32,"Usually moves first (priority +1)."
"Acid",Poison,Special,40,100%,30-48,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Acid Armor",Poison,Status,n/a,—,20-32,"Raises the user's Defense by 2 stages."
"Acid Downpour",Poison,Physical,1,—,1,"[Z-Move] requiring Poisonium Z"
"Acid Spray",Poison,Special,40,100%,20-32,"Has a 100% chance to lower the target's Special Defense by 2 stages."
"Acrobatics",Flying,Physical,55,100%,15-24,"Power doubles if the user has no held item."
"Acupressure",Normal,Status,n/a,—,30-48,"Raises a random stat by 2 stages as long as the stat is not already at stage 6. The user can choose to use this move on itself or an adjacent ally. Fails if no stat stage can be raised or if used on an ally with a substitute."
"Aerial Ace",Flying,Physical,60,—,20-32,"This move does not check accuracy."
"Aeroblast",Flying,Special,100,95%,5-8,"Has a higher chance for a critical hit."
"After You",Normal,Status,n/a,—,15-24,"The target makes its move immediately after the user this turn, no matter the priority of its selected move. Fails if the target would have moved next anyway, or if the target already moved this turn."
"Agility",Psychic,Status,n/a,—,30-48,"Raises the user's Speed by 2 stages."
"Air Cutter",Flying,Special,60,95%,25-40,"Has a higher chance for a critical hit."
"Air Slash",Flying,Special,75,95%,15-24,"Has a 30% chance to make the target flinch."
"All-Out Pummeling",Fighting,Physical,1,—,1,"[Z-Move] requiring Fightinium Z"
"Alluring Voice",Fairy,Special,80,100%,10-16,"Has a 100% chance to confuse the target if it had a stat stage raised this turn."
"Ally Switch",Psychic,Status,n/a,—,15-24,"Nearly always moves first (priority +2)."
"Amnesia",Psychic,Status,n/a,—,20-32,"Raises the user's Special Defense by 2 stages."
"Anchor Shot",Steel,Physical,80,100%,20-32,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Ancient Power",Rock,Special,60,100%,5-8,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
"Apple Acid",Grass,Special,80,100%,10-16,"Has a 100% chance to lower the target's Special Defense by 1 stage."
"Aqua Cutter",Water,Physical,70,100%,20-32,"Has a higher chance for a critical hit."
"Aqua Jet",Water,Physical,40,100%,20-32,"Usually moves first (priority +1)."
"Aqua Ring",Water,Status,n/a,—,20-32,"The user has 1/16 of its maximum HP, rounded down, restored at the end of each turn while it remains active. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. If the user uses Baton Pass, the replacement will receive the healing effect."
"Aqua Step",Water,Physical,80,100%,10-16,"Has a 100% chance to raise the user's Speed by 1 stage."
"Aqua Tail",Water,Physical,90,90%,10-16,"No additional effect."
"Armor Cannon",Fire,Special,120,100%,5-8,"Lowers the user's Defense and Special Defense by 1 stage."
"Arm Thrust",Fighting,Physical,15,100%,20-32,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Aromatherapy",Grass,Status,n/a,—,5-8,"Every Pokemon in the user's party is cured of its non-volatile status condition. Active Pokemon with the Sap Sipper Ability are not cured, unless they are the user."
"Aromatic Mist",Fairy,Status,n/a,—,20-32,"Raises the target's Special Defense by 1 stage. Fails if there is no ally adjacent to the user."
"Assist",Normal,Status,n/a,—,20-32,"A random move among those known by the user's party members is selected for use. Does not select Assist, Baneful Bunker, Beak Blast, Belch, Bestow, Blazing Torque, Bounce, Celebrate, Chatter, Circle Throw, Combat Torque, Copycat, Counter, Covet, Destiny Bond, Detect, Dig, Dive, Dragon Tail, Endure, Feint, Fly, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Magical Torque, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Noxious Torque, Phantom Force, Protect, Rage Powder, Roar, Shadow Force, Shell Trap, Sketch, Sky Drop, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Tera Starstorm, Thief, Transform, Trick, Whirlwind, or Wicked Torque."
"Assurance",Dark,Physical,60,100%,10-16,"Power doubles if the target has already taken damage this turn, other than direct damage from Belly Drum, confusion, Curse, or Pain Split."
"Astonish",Ghost,Physical,30,100%,15-24,"Has a 30% chance to make the target flinch."
"Astral Barrage",Ghost,Special,120,100%,5-8,"No additional effect."
"Attack Order",Bug,Physical,90,100%,15-24,"Has a higher chance for a critical hit."
"Attract",Normal,Status,n/a,100%,15-24,"Causes the target to become infatuated, making it unable to attack 50% of the time. Fails if both the user and the target are the same gender, if either is genderless, or if the target is already infatuated. The effect ends when either the user or the target is no longer active. Pokemon with the Oblivious Ability or protected by the Aroma Veil Ability are immune."
"Aura Sphere",Fighting,Special,80,—,20-32,"This move does not check accuracy."
"Aura Wheel",Electric,Physical,110,100%,10-16,"Has a 100% chance to raise the user's Speed by 1 stage. If the user is a Morpeko in Full Belly Mode, this move is Electric type. If the user is a Morpeko in Hangry Mode, this move is Dark type. This move cannot be used successfully unless the user's current form, while considering Transform, is Full Belly or Hangry Mode Morpeko."
"Aurora Beam",Ice,Special,65,100%,20-32,"Has a 10% chance to lower the target's Attack by 1 stage."
"Aurora Veil",Ice,Status,n/a,—,20-32,"For 5 turns, the user and its party members take 0.5x damage from physical and special attacks, or 0.66x damage if in a Double Battle; does not reduce damage further with Reflect or Light Screen. Critical hits ignore this protection. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Brick Break and Psychic Fangs remove the effect before damage is calculated. Lasts for 8 turns if the user is holding Light Clay. Fails unless the weather is Hail."
"Autotomize",Steel,Status,n/a,—,15-24,"Raises the user's Speed by 2 stages. If the user's Speed was changed, the user's weight is reduced by 100 kg as long as it remains active. This effect is stackable but cannot reduce the user's weight to less than 0.1 kg."
"Avalanche",Ice,Physical,60,100%,10-16,"Nearly always moves last (priority −4)."
"Axe Kick",Fighting,Physical,120,90%,10-16,"Has a 30% chance to confuse the target. If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage."
"Baby-Doll Eyes",Fairy,Status,n/a,100%,30-48,"Usually moves first (priority +1)."
"Baddy Bad",Dark,Special,80,95%,15-24,"This move summons Reflect for 5 turns upon use."
"Baneful Bunker",Poison,Status,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Barb Barrage",Poison,Physical,60,100%,10-16,"Has a 50% chance to poison the target. Power doubles if the target is already poisoned."
"Barrage",Normal,Physical,15,85%,20-32,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Barrier",Psychic,Status,n/a,—,20-32,"Raises the user's Defense by 2 stages."
"Baton Pass",Normal,Status,n/a,—,40-64,"The user is replaced with another Pokemon in its party. The selected Pokemon has the user's stat stage changes, confusion, and certain move effects transferred to it."
"Beak Blast",Flying,Physical,100,100%,15-24,"Nearly always moves last (priority −3)."
"Beat Up",Dark,Physical,—,100%,10-16,"Hits one time for the user and one time for each unfainted Pokemon without a non-volatile status condition in the user's party. The power of each hit is equal to 5+(X/10), where X is each participating Pokemon's base Attack; each hit is considered to come from the user."
"Behemoth Bash",Steel,Physical,100,100%,5-8,"No additional effect."
"Behemoth Blade",Steel,Physical,100,100%,5-8,"No additional effect."
"Belch",Poison,Special,120,90%,10-16,"This move cannot be selected until the user eats a Berry, either by eating one that was held, stealing and eating one off another Pokemon with Bug Bite or Pluck, or eating one that was thrown at it with Fling. Once the condition is met, this move can be selected and used for the rest of the battle even if the user gains or uses another item or switches out. Consuming a Berry with Natural Gift does not count for the purposes of eating one."
"Belly Drum",Normal,Status,n/a,—,10-16,"Raises the user's Attack by 12 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack stat stage is 6."
"Bestow",Normal,Status,n/a,—,15-24,"The target receives the user's held item. Fails if the user has no item or is holding a Mail or Z-Crystal, if the target is already holding an item, if the user is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, a Pokemon that can Mega Evolve holding the Mega Stone for its species, or if the target is one of those Pokemon and the user is holding the respective item."
"Bide",Normal,Physical,—,—,10-16,"Usually moves first (priority +1)."
"Bind",Normal,Physical,15,85%,20-32,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Bite",Dark,Physical,60,100%,25-40,"Has a 30% chance to make the target flinch."
"Bitter Blade",Fire,Physical,90,100%,10-16,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Bitter Malice",Ghost,Special,75,100%,10-16,"Has a 100% chance to lower the target's Attack by 1 stage."
"Black Hole Eclipse",Dark,Physical,1,—,1,"[Z-Move] requiring Darkinium Z"
"Blast Burn",Fire,Special,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Blaze Kick",Fire,Physical,85,90%,10-16,"Has a 10% chance to burn the target and a higher chance for a critical hit."
"Blazing Torque",Fire,Physical,80,100%,10-16,"Has a 30% chance to burn the target."
"Bleakwind Storm",Flying,Special,100,80%,10-16,"Has a 30% chance to lower the target's Speed by 1 stage. If the weather is Primordial Sea or Rain Dance, this move does not check accuracy. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 80%."
"Blizzard",Ice,Special,110,70%,5-8,"Has a 10% chance to freeze the target. If the weather is Snow, this move does not check accuracy."
"Block",Normal,Status,n/a,—,5-8,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Blood Moon",Normal,Special,140,100%,5-8,"Cannot be selected the turn after it's used."
"Bloom Doom",Grass,Physical,1,—,1,"[Z-Move] requiring Grassium Z"
"Blue Flare",Fire,Special,130,85%,5-8,"Has a 20% chance to burn the target."
"Body Press",Fighting,Physical,80,100%,10-16,"Damage is calculated using the user's Defense stat as its Attack, including stat stage changes. Other effects that modify the Attack stat are used as normal."
"Body Slam",Normal,Physical,85,100%,15-24,"Has a 30% chance to paralyze the target. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Bolt Beak",Electric,Physical,85,100%,10-16,"Power doubles if the user moves before the target."
"Bolt Strike",Electric,Physical,130,85%,5-8,"Has a 20% chance to paralyze the target."
"Bone Club",Ground,Physical,65,85%,20-32,"Has a 10% chance to make the target flinch."
"Bonemerang",Ground,Physical,50,90%,10-16,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"Bone Rush",Ground,Physical,25,90%,10-16,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Boomburst",Normal,Special,140,100%,10-16,"No additional effect."
"Bounce",Flying,Physical,85,85%,5-8,"Has a 30% chance to paralyze the target. This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister, and Gust and Twister have doubled power when used against it. If the user is holding a Power Herb, the move completes in one turn."
"Bouncy Bubble",Water,Special,60,100%,20-32,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"Branch Poke",Grass,Physical,40,100%,40-64,"No additional effect."
"Brave Bird",Flying,Physical,120,100%,15-24,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"Breaking Swipe",Dragon,Physical,60,100%,15-24,"Has a 100% chance to lower the target's Attack by 1 stage."
"Breakneck Blitz",Normal,Physical,1,—,1,"[Z-Move] requiring Normalium Z"
"Brick Break",Fighting,Physical,75,100%,15-24,"If this attack does not miss, the effects of Reflect, Light Screen, and Aurora Veil end for the target's side of the field before damage is calculated."
"Brine",Water,Special,65,100%,10-16,"Power doubles if the target has less than or equal to half of its maximum HP remaining."
"Brutal Swing",Dark,Physical,60,100%,20-32,"No additional effect."
"Bubble",Water,Special,40,100%,30-48,"Has a 10% chance to lower the target's Speed by 1 stage."
"Bubble Beam",Water,Special,65,100%,20-32,"Has a 10% chance to lower the target's Speed by 1 stage."
"Bug Bite",Bug,Physical,60,100%,20-32,"If this move is successful and the user has not fainted, it steals the target's held Berry if it is holding one and eats it immediately, gaining its effects even if the user's item is being ignored. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"Bug Buzz",Bug,Special,90,100%,10-16,"Has a 10% chance to lower the target's Special Defense by 1 stage."
"Bulk Up",Fighting,Status,n/a,—,20-32,"Raises the user's Attack and Defense by 1 stage."
"Bulldoze",Ground,Physical,60,100%,20-32,"Has a 100% chance to lower the target's Speed by 1 stage."
"Bullet Punch",Steel,Physical,40,100%,30-48,"Usually moves first (priority +1)."
